@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute outputs-1 {0,1,2,3,4,5}

@data
29,'2019/01/23 12:03:04:755',1,0.760897,-0.00655,0.526112,0.171388,0.17377,0.196306,0.265643,0.154797,0.188945,0.265727,0.394302,0.251537,0.149917,301.464844,0.005444,0.019269,1
30,'2019/01/23 12:03:04:771',1,0.563277,0.008886,0.363049,0.107767,0.457057,0.533649,0.28269,0.266721,0.244718,0.042091,0.195492,0.177725,0.245113,602.929688,0.004162,0.014845,1
31,'2019/01/23 12:03:04:789',1,0.581014,0.226863,0.360076,0.052387,0.262201,0.164229,0.149785,0.123506,0.220823,0.293507,0.543614,0.253927,0.393547,258.398438,0.004189,0.01365,1
32,'2019/01/23 12:03:04:805',1,0.629575,-0.016608,0.562822,0.277204,0.224364,0.139583,0.146873,0.169014,0.263157,0.301606,0.447114,0.30532,0.250426,301.464844,0.004595,0.015982,1
33,'2019/01/23 12:03:04:823',1,0.748959,0.112966,0.577254,0.275329,0.19963,0.18568,0.09078,0.044364,0.067796,0.216474,0.443099,0.268965,0.315197,215.332031,0.004748,0.023844,1
34,'2019/01/23 12:03:04:838',1,0.869984,0.258008,0.470686,0.086921,0.229846,0.124932,0.15296,0.156756,0.058006,0.245946,0.298586,0.190799,0.272373,172.265625,0.004799,0.018476,1
35,'2019/01/23 12:03:04:857',1,0.757026,0.206755,0.533421,0.112363,0.242238,0.358081,0.145967,0.181255,0.17561,0.214298,0.291448,0.038922,0.278412,129.199219,0.004054,0.017144,1
36,'2019/01/23 12:03:04:871',1,0.763361,0.060943,0.458073,0.050575,0.024818,0.097413,0.33553,0.439644,0.144289,0.13471,0.344209,0.268571,0.384384,258.398438,0.003976,0.013258,1
37,'2019/01/23 12:03:04:888',1,0.666132,-0.179406,0.449188,0.15233,0.238066,0.294123,0.289802,0.307524,0.284165,0.178765,0.328716,0.273437,0.356174,1464.257813,0.004147,0.013101,1
38,'2019/01/23 12:03:04:904',1,0.796368,0.17522,0.590486,0.190403,0.112494,0.20463,0.201263,0.279845,0.329277,0.18631,0.271329,0.141644,0.256676,215.332031,0.003519,0.014004,1
39,'2019/01/23 12:03:04:922',1,0.846011,0.110416,0.554146,0.159325,0.311867,0.239107,0.086995,0.207524,0.308629,0.137019,0.180548,0.205003,0.338812,172.265625,0.004128,0.013154,1
